,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
2182,sandeepundru1,2022-11-12 04:18:23+00:00,1.0,,2.0,0.0,1.5912842443238932e+18,https://twitter.com/sandeepundru1/status/1591284244323893248,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVglJLXwAMbHoj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVglJLXwAMbHoj?format=jpg&name=large')]",JaganannaMosam,241.0,#JaganannaMosam https://t.co/A35IrtIPPU
2183,SubhashRolla,2022-11-12 04:17:09+00:00,5.0,,4.0,1.0,1.5912839348849336e+18,https://twitter.com/SubhashRolla/status/1591283934884933633,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVgTQZaAAQWeCS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVgTQZaAAQWeCS?format=jpg&name=large')]",JaganannaMosam,67.0,#JaganannaMosam @JanaSenaParty @PawanKalyan @Ewjanasainyam https://t.co/lWh4vNBLuQ
2184,BhargavAmudala,2022-11-12 04:16:37+00:00,2.0,,4.0,1.0,1.5912837999416115e+18,https://twitter.com/BhargavAmudala/status/1591283799941611522,,"['JaganannaMosam', 'APneedspawankalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FhVgLoCaAAEVFdo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVgLoCaAAEVFdo?format=jpg&name=large')]",JaganannaMosam,23.0,"#JaganannaMosam 

#APneedspawankalyan https://t.co/6La1i2D5wi"
2185,RaghavaAkula,2022-11-12 04:15:49+00:00,1.0,,2.0,0.0,1.591283600368218e+18,https://twitter.com/RaghavaAkula/status/1591283600368218113,,"['SenaniMeetsPradhani', 'ZPlusSecurityForPawanKalyan', 'JaganannaMosam']",,JaganannaMosam,90.0,"#SenaniMeetsPradhani

#ZPlusSecurityForPawanKalyan
#JaganannaMosam https://t.co/bfmbidVKzp"
2186,PK_Addicts,2022-11-12 04:15:01+00:00,999.0,,480.0,2.0,1.5912833996791726e+18,https://twitter.com/PK_Addicts/status/1591283399679172608,,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591271523872313344/pu/img/gChiPSENwDXOBvP4.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591271523872313344/pu/pl/0b_GIZWFGl8805-P.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591271523872313344/pu/vid/426x220/r1Jg7pkBF-psIsqQ.mp4?tag=12', bitrate=256000)], duration=140.0, views=16649)]",JaganannaMosam,42408.0,"ఈ అసమర్థ ప్రభుత్వంతో పరుగులు పెట్టించి పనులు చేయించగల ఒకే ఒక్క వ్యక్తి @PawanKalyan!🙏

రాజమండ్రిలో హడావిడిగా ఇళ్ళ పంపిణీ పనులు!🔥 #JaganannaMosam 

https://t.co/vmyXvLhYIu"
2187,AstraTelugu,2022-11-12 04:14:45+00:00,1.0,,0.0,0.0,1.5912833297811046e+18,https://twitter.com/AstraTelugu/status/1591283329781104640,,['JaganannaMosam'],,JaganannaMosam,131.0,#JaganannaMosam https://t.co/WF7crvzHXM
2188,Ndpkakinada,2022-11-12 04:13:08+00:00,3.0,,6.0,0.0,1.5912829235543654e+18,https://twitter.com/Ndpkakinada/status/1591282923554365440,,['JaganannaMosam'],,JaganannaMosam,545.0,"అక్కడ ఇళ్ళేవి... నవరత్నాలు రాసుకోడానికి పెట్టిన ఖర్చు, ఇళ్ళు కట్టడానికి మనసు రావటం లేదు ప్రభుత్వానికి
#JaganannaMosam
@JanaSenaParty https://t.co/iRhf0975eI"
2189,TcVarun1,2022-11-12 04:12:27+00:00,2.0,,5.0,0.0,1.5912827510090834e+18,https://twitter.com/TcVarun1/status/1591282751009083393,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVfOHeaAAELN-Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfOHeaAAELN-Y?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfOGRacAE-dqP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfOGRacAE-dqP?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfOHsaMAEY1Xb?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfOHsaMAEY1Xb?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfOHqaMAIug3b?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfOHqaMAIug3b?format=jpg&name=large')]",JaganannaMosam,383.0,"జగనన్న ఇల్లు - పేదలకు కన్నీళ్లు 
▪️ఇళ్ల కుంభ కోణం బయటకు లాగుతాం 
▪️రాష్ట్రము లోనే అతిపెద్ద స్కాం జగన్నన్న కాలనీ లు 
▪️ప్రభుత్వ స్కాం ని బట్ట బయలు చేస్తాం 
జనసేన అనంతపురం జిల్లా అధ్యక్షులు 
 శ్రీ @tc_varun గారు 
#JaganannaMosam https://t.co/dgrrbv8R2S"
2190,MSNANDA18,2022-11-12 04:12:26+00:00,1.0,,1.0,0.0,1.591282749343961e+18,https://twitter.com/MSNANDA18/status/1591282749343961088,,['JaganannaMosam'],,JaganannaMosam,10.0,"#JaganannaMosam  
@JanaSenaParty @PawanKalyan"
2191,TcVarun1,2022-11-12 04:12:23+00:00,16.0,,20.0,1.0,1.5912827350158746e+18,https://twitter.com/TcVarun1/status/1591282735015874560,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhVfM8vaAAErAF8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfM8vaAAErAF8?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfM87aMAEIl1X?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfM87aMAEIl1X?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfM8waEAA8g7R?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfM8waEAA8g7R?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhVfM85agAElHjW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhVfM85agAElHjW?format=jpg&name=large')]",JaganannaMosam,383.0,"జగనన్న ఇల్లు - పేదలకు కన్నీళ్లు 
▪️ఇళ్ల కుంభ కోణం బయటకు లాగుతాం 
▪️రాష్ట్రము లోనే అతిపెద్ద స్కాం జగన్నన్న కాలనీ లు 
▪️ప్రభుత్వ స్కాం ని బట్ట బయలు చేస్తాం 
జనసేన అనంతపురం జిల్లా అధ్యక్షులు 
 శ్రీ @tc_varun గారు 
#JaganannaMosam https://t.co/U7WWyqY8d3"
2192,SimhaPspkCult,2022-11-12 04:11:46+00:00,48.0,,54.0,0.0,1.5912825792271483e+18,https://twitter.com/SimhaPspkCult/status/1591282579227148288,,['jaganannamosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591282530572828672/pu/img/IiohaJ3su07uWVon.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591282530572828672/pu/vid/490x270/tcB_Zzwm_kf7bO0m.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591282530572828672/pu/vid/640x352/HTkv_q3nqOi_ruXm.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591282530572828672/pu/pl/m8nQgSkRKDm9VsTe.m3u8?tag=12&container=fmp4', bitrate=None)], duration=29.975, views=341)]",JaganannaMosam,74.0,A village in kaikaluru with no house built by the jaganana government......#jaganannamosam @JanaSenaParty @PawanKalyan @mnadendla @BandreddiRam @AmmisettyVasu @JSPpvmahesh https://t.co/Ydc0tCEn2G
2193,Ndpkakinada,2022-11-12 04:10:44+00:00,16.0,,14.0,0.0,1.5912823216801178e+18,https://twitter.com/Ndpkakinada/status/1591282321680117760,,['JaganannaMosam'],,JaganannaMosam,545.0,"#JaganannaMosam
@JanaSenaParty https://t.co/s3v2LFqCrV"
2194,sree_n_r,2022-11-12 04:10:20+00:00,45.0,,21.0,2.0,1.5912822209287496e+18,https://twitter.com/sree_n_r/status/1591282220928749568,,"['TDPYCPDestroyedAP', 'JaganannaMosam']",,JaganannaMosam,2385.0,"నీ అయ్యవా అడవులు? NGT వాళ్ళు బొక్కలో వేస్తారు.
జనాల్ని మోసం చేయడం మానండి.

#TDPYCPDestroyedAP
#JaganannaMosam https://t.co/anmDqBlcro"
2195,34683f932939485,2022-11-12 04:10:10+00:00,0.0,,1.0,0.0,1.5912821791996314e+18,https://twitter.com/34683f932939485/status/1591282179199631360,,['JaganannaMosam'],,JaganannaMosam,6.0,మంత్రుల అవినీతి కి నిదర్శనం. ప్రజలు నివసించే అణువు లేని స్థలాలు కొని ప్రజల్ని మోసం చేస్తున్నారు #JaganannaMosam
2196,BondKopadhari,2022-11-12 04:10:02+00:00,2.0,,3.0,0.0,1.591282142948266e+18,https://twitter.com/BondKopadhari/status/1591282142948265984,,['JaganannaMosam'],,JaganannaMosam,1438.0,#JaganannaMosam https://t.co/f6fgpLlHrQ
2197,rsanaka,2022-11-12 04:09:59+00:00,1.0,,1.0,0.0,1.5912821327770665e+18,https://twitter.com/rsanaka/status/1591282132777066497,,['JaganannaMosam'],,JaganannaMosam,7.0,#JaganannaMosam
2198,SivaRam14039007,2022-11-12 04:08:40+00:00,0.0,,1.0,0.0,1.5912817996612608e+18,https://twitter.com/SivaRam14039007/status/1591281799661260800,,['JaganannaMosam'],,JaganannaMosam,2.0,#JaganannaMosam
2199,GunukulaKishore,2022-11-12 04:08:29+00:00,152.0,,129.0,1.0,1.591281754966745e+18,https://twitter.com/GunukulaKishore/status/1591281754966745088,,"['KishoreGunukula', 'Nellore', 'JSPForNelloreCity_JaganannaMosam', 'JaganannaMosam']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591281711920295936/pu/img/3vUA0dlEYC-xSVwM.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591281711920295936/pu/pl/SzlVOowITpWxy7_D.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591281711920295936/pu/vid/490x270/71ePfSystFOBtO5a.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591281711920295936/pu/vid/640x352/xzSd3vQ9vqm1ABi2.mp4?tag=12', bitrate=832000)], duration=13.954, views=526)]",JaganannaMosam,3475.0,"కనీసం పిల్లర్లు కూడా లేకుండా తూ తూ మంత్రం గా జగనన్న నిర్మిస్తున్న పేదల ఇల్లు,నెల్లూరు సిటీ
“జగనన్న ఇల్లు - పేదలందరికీ కనీళ్లు” 

@JanaSenaParty @PawanKalyan  @JSPManuKranth @mnadendla
#KishoreGunukula

#Nellore
#JSPForNelloreCity_JaganannaMosam
#JaganannaMosam https://t.co/4dSySuqGGb"
