,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
2846,MadhaviSunkara5,2022-11-12 13:43:42+00:00,0.0,,0.0,0.0,1.591426512175399e+18,https://twitter.com/MadhaviSunkara5/status/1591426512175398912,Prathipadu,['JaganannaMosam'],,keyword,"Atmakuru jagana colony people problems hearing bu @JSPSrinivasarao garu today.
https://t.co/W60JpkQ1Fa
#JaganannaMosam","16.1781607,80.34158014"
2847,abhikancherla,2022-11-12 13:02:46+00:00,1.0,,1.0,0.0,1.5914162126802125e+18,https://twitter.com/abhikancherla/status/1591416212680212480,Prathipadu,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhXYmvOUYAExce5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhXYmvOUYAExce5?format=jpg&name=large')]",keyword,"జగనన్న ఇళ్ళు - పేదలందరికీ కన్నీళ్లు!

ఏపీలో మూడున్నరేళ్ళలో 8% పూర్తికాని పేదల ఇళ్లు!!

 #JaganannaMosam https://t.co/slz8RzB3Ma","16.1781607,80.34158014"
2848,Bonaboyina9,2022-11-12 11:32:26+00:00,110.0,,69.0,0.0,1.591393478793384e+18,https://twitter.com/Bonaboyina9/status/1591393478793383936,Prathipadu,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591393350292099073/pu/img/kFZa3tmTLBibkRA2.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591393350292099073/pu/pl/_a_vSVxEf0ycKoVo.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591393350292099073/pu/vid/640x352/t2v8JxUAEzZ1oX82.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591393350292099073/pu/vid/490x270/nGRH3c6ZL3SIWAub.mp4?tag=12', bitrate=256000)], duration=117.651, views=675)]",keyword,"ఈ @YSRCParty ప్రభుత్వం కక్షసాధింపుల్లో భాగంగా జనసేనాని @PawanKalyan గారిపై తాడేపల్లి పోలీస్ స్టేషన్లో అక్రమంగా కేసు బనాయించడాన్ని తీవ్రంగా వ్యతిరేకిస్తున్నాం. 

వైసీపీ చేస్తున్న ఇలాంటి కామెడీ స్కిట్లను పోలీసులు సమర్దించోద్దని, బాధ్యతగా వ్యవహరించాలని కోరుతున్నాము.

#JaganannaMosam https://t.co/6GIu9i2Aj7","16.1781607,80.34158014"
2849,pavanthota343,2022-11-12 11:02:05+00:00,0.0,,0.0,0.0,1.591385839061594e+18,https://twitter.com/pavanthota343/status/1591385839061594112,Prathipadu,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591385787056021504/pu/img/ygqIr90CXH6NX8a_.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591385787056021504/pu/vid/490x270/VsA2jht4EdfyCn_C.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591385787056021504/pu/pl/X2GAyouh3uVZPaAX.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591385787056021504/pu/vid/640x352/HMGMMIdmBiFXn07V.mp4?tag=12', bitrate=832000)], duration=26.934, views=6)]",keyword,"జగనన్న ఇళ్ల స్థలాల్లో చేపల చెరువు 😂😂😂

Video Ending మిస్ అవ్వకండి
#JaganannaMosam https://t.co/YAi7zlrS03","16.1781607,80.34158014"
2850,Bonaboyina9,2022-11-12 10:35:38+00:00,35.0,,13.0,0.0,1.5913791858636472e+18,https://twitter.com/Bonaboyina9/status/1591379185863647232,Prathipadu,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591379128346779648/pu/img/nV2z6zQ-WV-l1dma.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/pl/GU3Z8Vi2PBnRrNEi.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/vid/490x270/PDFucPfgS2_NljGm.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/vid/640x352/ecsaX1JVceNx5NMN.mp4?tag=12', bitrate=832000)], duration=56.212, views=71)]",keyword,#JaganannaMosam https://t.co/oAgjHTaDoV,"16.1781607,80.34158014"
2851,Bonaboyina9,2022-11-12 10:35:19+00:00,171.0,,91.0,1.0,1.5913791033994445e+18,https://twitter.com/Bonaboyina9/status/1591379103399444480,Prathipadu,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591378981391020032/pu/img/huVM30nfbJvJnKCC.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/vid/490x270/IK1seCzoI8aB7eyS.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/vid/640x352/xEW-O1kac4UrhWKq.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/pl/B72Bl4Flvgx6Rhfz.m3u8?tag=12&container=fmp4', bitrate=None)], duration=109.903, views=466)]",keyword,"సత్తెనపల్లి నియోజకవర్గం రాజుపాలెం మండలం రాజుపాలెం గ్రామంలో ప్రభుత్వ భూముల్ని ప్రైవేట్ వ్యక్తులకు ధారాదత్తం చేసి వాటిని సొమ్ము చేసుకునే పనిలో ఈ @YSRCParty నాయకులు ఉన్నారు. ఇలాంటి అక్రమాలు చేస్తున్న వారిపై @JanaSenaParty తరవున న్యాయపరమైన పోరాటం చేస్తాం. 
#JaganannaMosam https://t.co/XWeVVLbmhz","16.1781607,80.34158014"
2852,GunturPSPKFC,2022-11-12 09:24:05+00:00,13.0,,5.0,0.0,1.5913611783534387e+18,https://twitter.com/GunturPSPKFC/status/1591361178353438720,Prathipadu,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWmjBKaUAAT0TR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWmjBKaUAAT0TR?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWmjOgaUAEFTOS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWmjOgaUAEFTOS?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWmjd5aUAAPJya?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWmjd5aUAAPJya?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWmjs6akAIPWSj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWmjs6akAIPWSj?format=jpg&name=large')]",keyword,"🥰🥰 @PawanKalyan 

#JaganannaMosam https://t.co/zamwmESRRb","16.1781607,80.34158014"
2853,GunturPSPKFC,2022-11-12 08:53:31+00:00,22.0,,12.0,0.0,1.5913534838062776e+18,https://twitter.com/GunturPSPKFC/status/1591353483806277632,Prathipadu,['jaganannamosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591353443658371073/pu/img/zPKVjHXoFugP6Jdk.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591353443658371073/pu/vid/640x360/fMAnLThonDCvqT5f.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591353443658371073/pu/pl/r2F2pxpwb2hgZFKa.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591353443658371073/pu/vid/480x270/FRAuFJYKwwv8Slgn.mp4?tag=12', bitrate=256000)], duration=30.975, views=141)]",keyword,"మోడీని టచ్ చేసిన జగన్ ఆగ్రహించిన SPG 😟

ఎడ్డి ఎకసకాలు మింగితే సీఎం అయినా SPG మూతి మీద మింగుతారు అన్నా  @ysjagan 

 #jaganannamosam https://t.co/dnnC8COLsi","16.1781607,80.34158014"
2854,Bonaboyina9,2022-11-12 08:47:14+00:00,72.0,,44.0,0.0,1.59135190388745e+18,https://twitter.com/Bonaboyina9/status/1591351903887450112,Prathipadu,['JaganannaMosam'],,keyword,"ఈ ప్రాంతంలో ఇళ్ళు కేటాయించబడిన లబ్ధిదారులకు నివాసయోగ్యంగా ఉండే ప్రాంతాల్లో, మౌలిక వసతులు అందుబాటులో ఉండే ప్రాంతాల్లో వీరికి ఇళ్ళని కేటాయించాలని @JanaSenaParty తరపున @YSRCParty ప్రభుత్వాన్ని డిమాండ్ చేస్తున్నాము.

#JaganannaMosam","16.1781607,80.34158014"
2855,GadeTweets,2022-11-12 08:24:49+00:00,89.0,,75.0,2.0,1.5913462613825618e+18,https://twitter.com/GadeTweets/status/1591346261382561794,Prathipadu,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhWY-OvVEAE4Ykm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWY-OvVEAE4Ykm?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWY-hSUcAAKykR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWY-hSUcAAKykR?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWY-4dVQAEpln3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWY-4dVQAEpln3?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FhWY_YiVEAAMA68?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhWY_YiVEAAMA68?format=jpg&name=large')]",keyword,"ఉమ్మడి గుంటూరు జిల్లా..
తేదీ:12/11/22

తెనాలి నియోజకవర్గం నేలపాడు గ్రామం( ఫేస్-1) లో శ్ 'జగనన్న ఇల్లు-పేదలందరికీ కన్నీళ్లు"" కార్యక్రమంలోభాగంగా  రోజు మొదటి రోజు నేలపాడు గ్రామంలో ఇళ్లను పరిశీలించాము.. రోడ్లు కూడలేవు.. పిచ్చి చెట్లుతో నిండి పోయాయి 
#JaganannaMosam https://t.co/phnPRwLRG0","16.1781607,80.34158014"
